idx	htid	access	rights	ht_rec	enum_chron	source	source_rec	oclc_num	isbn	issn	lccn	title	imprint	rights_code	last_update	gov_doc	pub_date	pub_place	lang	bib_format	coll_code	provider_code	resp_ent_code	dig_agent_code	access_profile	author
661859	nyp.33433048083277	allow	pd	208541	---	NYP	.b13935069x	5043670			10020022	Murillo, by Ellen E. Minor.	S. Low, Marston, Searle, & Rivington, 1882.	bib	2021-01-20 16:27:08	0	1882.0	enk	eng	BK	NYP	nypl	nypl	google	google	Minor, Ellen E.
10611814	nyp.33433074827506	allow	pd	8584649		NYP	.b11588449x				21019652	Madame Margot : a grotesque legend of old Charleston / by John Bennett.	The Century Co., 1921.	bib	2010-10-03 19:30:16	0	1921.0	nyu	eng	BK	NYP	nypl	nypl	google	google	Bennett, John, 1865-1956.
10612901	nyp.33433076059314	allow	pd	8585384		NYP	.b117454643	10616358				The homesteader : a novel / by Oscar Micheaux ... ; illustrated by W.M. Farrow.	Western Book Supply Company, c1917.	bib	2010-10-08 20:30:56	0	1917.0	iau	eng	BK	NYP	nypl	nypl	google	google	Micheaux, Oscar, 1884-1951.
939636	nyp.33433076094543	allow	pd	391524		NYP	.b130936819	5328743			06044715	Among the pines: or, South in secession-time. By Edmund Kirke [pseud.]	J. R. Gilmore [etc.] 1862.	bib	2010-10-08 20:31:02	0	1862.0	nyu	eng	BK	NYP	nypl	nypl	google	google	Gilmore, James R. 1822-1903.
17400543	nyp.33433080444429	allow	pd	102777131		NYP	.b115891675					Historical romance of the American Negro / by Charles H. Fowler.	Press of Thomas & Evans, 1902.	bib	2020-07-30 03:26:24	0	1902.0	mdu	eng	BK	NYP	nypl	nypl	google	google	Fowler, Charles Henry, 1837-1908.
10803364	nyp.33433082003462	allow	pd	8663544		NYP	.b131433684	917991				Among the pines; or, South in secession-time. by Edmund Kirke, author of "My southern friends."	Carleton, 1864. Negro History Press [n.d.]	bib	2010-10-02 20:31:44	0	1864.0	nyu	eng	BK	NYP	nypl	nypl	google	google	Gilmore, James R. 1822-1903.
10792852	nyp.33433082003470	allow	pd	8657794		NYP	.b13093608x	28814568				Among the pines, or, South in secession-time / by Edmund Kirke.;	J.R. Gilmore ... Charles T. Evans, 1862.	bib	2010-10-02 20:31:44	0	1862.0	nyu	eng	BK	NYP	nypl	nypl	google	google	Gilmore, James R. 1822-1903.
10837610	nyp.33433082252564	allow	pd	8684725		NYP	.b135776557	15483795				The "home queen" cook book, two thousand valuable recipes on cookery and household economy, table etiquette, toilet, etc.	Donahue [1901]	bib	2012-10-27 19:30:51	0	1901	ilu	eng	BK	NYP	nypl	nypl	google	google	White, J. E.
10612270	nyp.33433082505706	allow	pd	8584944		NYP	.b116898574	3903360			19016027	The heart of the world, by Joshua Henry Jones, jr.	The Stratford co., 1919.	bib	2010-10-06 19:30:51	0	1919.0	mau	eng	BK	NYP	nypl	nypl	google	google	Jones, Joshua Henry
14465944	nyp.33433107875183	allow	pdus	100157399	---	NYP	.b134327329	1205363			95118753 //r96	Lady into fox / by David Garnett ; illustrated with wood engravings by R.A. Garnett.	Chatto & Windus, 1922.	add	2014-04-25 05:25:04	0	1922.0	enk	eng	BK	NYP	nypl	nypl	google	google	Garnett, David, 1892-1981
15100091	nyp.33433112009810	allow	pd	100612980	---	NYP	.b131120438	7626194			04016473	A fools̓ errand, by one of the fools.	Fords, Howard, & Hulbert, 1902.	bib	2015-02-09 03:26:35	0	1902.0	nyu	eng	BK	NYP	nypl	nypl	google	google	Tourgée, Albion W., 1838-1905.
3623751	nyp.33433112009828	allow	pd	1187409	---	NYP	.b133765751	276318			08034329	A fool's errand.	Fords, Howard, & Hulbert, c1880.	bib	2015-02-09 03:26:35	0	1880.0	nyu	eng	BK	NYP	nypl	nypl	google	google	Tourgée, Albion Winegar, 1838-1905.
14371237	osu.32435001929710	allow	pd	100105948		OU	.b23688518	21609416				Four girls at Cottage City / by Emma D. Kelley-Hawkins.	James H. Earle, 1898.	bib	2014-07-01 03:25:30	0	1898.0	mau	eng	BK	OSU	osu	osu	google	google	Kelley, Emma Dunham.
16059357	osu.32435002717650	deny	ic	101668633		OU	.b26703968	407488				The golden hawk, and a woman called Fancy. [Two complete novels]	Dial Press [1951]	bib	2016-05-25 03:26:13	0	1951.0	nyu	eng	BK	OSU	osu	osu	google	google	Yerby, Frank, 1916-1991.
16766379	osu.32435009103276	allow	pdus	102215579		OU	.b12875521	542378.0				She walks in beauty.	Western Publishers, 1963.	ren	2020-09-23 05:25:06	0	1963.0	   	eng	BK	OSU	osu	osu	google	google	Rogers, J. A. 1880-1966.
3494271	osu.32435009630229	deny	ic	1112505		OU	.b12865047	276317			61013744 /L/r88	A fool's errand. Edited by John Hope Franklin.	Belknap Press of Harvard University Press, 1961.	ren	2019-02-01 05:25:42	0	1961.0	mau	eng	BK	OSU	osu	osu	google	google	Tourgée, Albion Winegar, 1838-1905.
14555338	osu.32435014282735	deny	ic	100216544		OU	.b12844263	257714	0404001548		73-144599	The quest of the silver fleece; a novel. Illustrated by H. S. De Lay, Chicago, A. C. McClurg, 1911.	AMS Press, 1972]	bib	2014-08-29 03:25:20	0	1972.0	nyu	eng	BK	OSU	osu	osu	google	google	Du Bois, W. E. B. 1868-1963.
16055252	osu.32435016379489	allow	pd	101665137		OU	.b14238524	32071003			15016441	Lillian Simmons, or the conflict of sections : a story / by Otis M. Shackelford ... ; illustrated by William Hamilton.	R.M. Rigby Printing Co., 1922, c1915.	bib	2016-05-25 03:26:35	0	1915.0	mou	eng	BK	OSU	osu	osu	google	google	Shackelford, Otis M., 1871-
15431279	osu.32435017630211	allow	pdus	100821267		OU	.b21918223	8960161			54-7603	Strange sinner / by Elsie Jordan.	Pageant, c1954.	ren	2021-01-12 05:25:16	0	1954.0	nyu	eng	BK	OSU	osu	osu	google	google	Jordan, Elsie.
11675878	osu.32435017886441	allow	pd	9260780		OU	.b20823186	1469224			08022561	Pointing the way, by Sutton E. Griggs.	The Orion publishing company, 1908.	bib	2014-12-09 03:25:43	0	1908.0	tnu	eng	BK	OSU	osu	osu	google	google	Griggs, Sutton E. 1872-1933.
15070545	osu.32435018054957	allow	pd	100589508		OU	.b25681679	2843388			1-29735	Contending forces : a romance illustrative of Negro life north and south / by Pauline E. Hopkins ; with illustrations and cover design by R. Emmett Owen.	Colored Co-operative Pub. Co., 1900.	bib	2014-12-09 03:25:46	0	1900	mau	eng	BK	OSU	osu	osu	google	google	Hopkins, Pauline E.
15067365	osu.32435018352559	allow	pd	100586547		OU	.b12807035	1321998				The invisible empire : Part I. A new, illustrated, and enlarged edition of A fool's errand, by one of the fools ; the famous historical romance of life in the South since the war. Part II. A concise review of recent events, showing the elements on which the tale is based, with many thrilling personal narratives and other startling facts and considerations, including an account of the rise, extent, purpose, methods, and deeds of the mysterious Ku-Klux Klan ; all fully authenticated / by Albion W. Tourgée.	Fords, Howard & Hulbert ... [and 4 others], c1880.	bib	2015-01-24 03:25:20	0	1880	nyu	eng	BK	OSU	osu	osu	google	google	Tourgée, Albion W., 1838-1905.
15070514	osu.32435018459172	allow	pd	100589478		OU	.b25470760	24357008			20-1370	The sword of Nemesis / by R. Archer Tracy.	The Neale Publishing Company, 1919.	bib	2014-12-09 03:25:50	0	1919	nyu	ENG	BK	OSU	osu	osu	google	google	Tracy, R. Archer 1878-
13398941	osu.32435018561423	allow	pd	10939080		OU	.b22117271	1260127			02020392	Neither bond nor free. (A plea.) ... By G. Langhorne Pryor ...	J. S. Ogilvie Publishing Company, 1902.	bib	2014-12-09 03:25:50	0	1902.0	nyu	eng	BK	OSU	osu	osu	google	google	Pryor, George Langhorne, b. 1857.
14559294	osu.32435019436872	allow	pd	100219351	V12	OU	.b23337114	39343331				Works.	W. Scott [189-]	add	2014-09-24 05:25:07	0	1899.0	enk	eng	BK	OSU	osu	osu	google	google	Hawthorne, Nathaniel, 1804-1864.
14559293	osu.32435019436880	allow	pd	100219351	V11	OU	.b23337114	39343331				Works.	W. Scott [189-]	add	2014-09-09 05:25:03	0	1899.0	enk	eng	BK	OSU	osu	osu	google	google	Hawthorne, Nathaniel, 1804-1864.
14559292	osu.32435019436898	allow	pdus	100219351	V10	OU	.b23337114	39343331				Works.	W. Scott [189-]	bib	2014-08-29 03:25:24	0	1899.0	enk	eng	BK	OSU	osu	osu	google	google	Hawthorne, Nathaniel, 1804-1864.
14559291	osu.32435019436906	allow	pdus	100219351	V9	OU	.b23337114	39343331				Works.	W. Scott [189-]	bib	2014-08-29 03:25:24	0	1899.0	enk	eng	BK	OSU	osu	osu	google	google	Hawthorne, Nathaniel, 1804-1864.
14559290	osu.32435019436914	allow	pd	100219351	V8	OU	.b23337114	39343331				Works.	W. Scott [189-]	add	2014-09-10 05:25:04	0	1899.0	enk	eng	BK	OSU	osu	osu	google	google	Hawthorne, Nathaniel, 1804-1864.
14559289	osu.32435019436922	allow	pdus	100219351	V7	OU	.b23337114	39343331				Works.	W. Scott [189-]	bib	2014-08-29 03:25:24	0	1899.0	enk	eng	BK	OSU	osu	osu	google	google	Hawthorne, Nathaniel, 1804-1864.
14559288	osu.32435019436930	allow	pdus	100219351	V6	OU	.b23337114	39343331				Works.	W. Scott [189-]	bib	2014-08-29 03:25:24	0	1899.0	enk	eng	BK	OSU	osu	osu	google	google	Hawthorne, Nathaniel, 1804-1864.
14559287	osu.32435019436948	allow	pd	100219351	V5	OU	.b23337114	39343331				Works.	W. Scott [189-]	add	2014-09-09 05:25:03	0	1899.0	enk	eng	BK	OSU	osu	osu	google	google	Hawthorne, Nathaniel, 1804-1864.
14559286	osu.32435019436955	allow	pd	100219351	V4	OU	.b23337114	39343331				Works.	W. Scott [189-]	add	2014-09-10 05:25:03	0	1899.0	enk	eng	BK	OSU	osu	osu	google	google	Hawthorne, Nathaniel, 1804-1864.
14559285	osu.32435019436963	allow	pd	100219351	V3	OU	.b23337114	39343331				Works.	W. Scott [189-]	add	2014-09-06 05:25:04	0	1899.0	enk	eng	BK	OSU	osu	osu	google	google	Hawthorne, Nathaniel, 1804-1864.
14559284	osu.32435019436971	allow	pd	100219351	V2	OU	.b23337114	39343331				Works.	W. Scott [189-]	add	2014-09-10 05:25:03	0	1899.0	enk	eng	BK	OSU	osu	osu	google	google	Hawthorne, Nathaniel, 1804-1864.
14559283	osu.32435019436989	allow	pd	100219351	V1	OU	.b23337114	39343331				Works.	W. Scott [189-]	add	2014-09-04 05:25:03	0	1899.0	enk	eng	BK	OSU	osu	osu	google	google	Hawthorne, Nathaniel, 1804-1864.
14371868	osu.32435020591434	allow	pd	100106382	V10	OU	.b26672807	47857921				Works--	Jefferson Press, [c1879-1913]	bib	2014-02-12 04:25:57	0	1913.0	mau	eng	BK	OSU	osu	osu	google	google	Hawthorne, Nathaniel, 1804-1864.
14371867	osu.32435020591483	allow	pd	100106382	V5	OU	.b26672807	47857921				Works--	Jefferson Press, [c1879-1913]	bib	2014-07-02 03:34:27	0	1913.0	mau	eng	BK	OSU	osu	osu	google	google	Hawthorne, Nathaniel, 1804-1864.
14372470	osu.32435021402532	allow	pd	100106752	V23	OU	.b27150707	48149292				[Works]	J.R. Osgood, 1876-1879.	bib	2014-02-12 04:25:56	0	1879.0	mau	eng	BK	OSU	osu	osu	google	google	Hawthorne, Nathaniel, 1804-1864.
